[5/30/2026 12:44:37 AM] [INFO] received Windows console close event; shutting log-core down
[5/30/2026 12:48:21 AM] [INFO] received Windows console close event; shutting log-core down
[5/30/2026 12:49:24 AM] [INFO] received Windows console close event; shutting log-core down
[5/30/2026 12:49:39 AM] [INFO] received Windows console close event; shutting log-core down
[5/30/2026 12:49:58 AM] [INFO] received Windows console close event; shutting log-core down
[5/30/2026 3:59:38 AM] [INFO] received Windows console close event; shutting log-core down
[5/30/2026 4:06:25 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 1:25:57 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 1:43:39 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 1:46:50 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 1:56:27 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 1:59:13 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 2:05:32 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 2:10:53 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 2:23:08 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 2:28:30 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 2:32:59 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:19:49 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:21:42 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:22:50 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:24:30 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:26:31 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:27:07 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:31:21 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:32:33 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:36:08 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:43:46 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:44:23 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:55:55 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:58:12 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 3:59:51 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:00:39 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:02:59 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:08:07 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:13:02 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:14:35 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:15:51 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:16:44 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:19:43 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:22:28 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 4:23:46 AM] [INFO] received Windows console close event; shutting log-core down
[5/31/2026 11:59:16 PM] [INFO] received Windows console close event; shutting log-core down
[6/1/2026 12:57:47 AM] [INFO] received Windows console close event; shutting log-core down
[6/1/2026 1:19:51 AM] [INFO] received Windows console close event; shutting log-core down
[6/1/2026 1:24:42 AM] [INFO] received Windows console close event; shutting log-core down
[6/1/2026 2:15:56 AM] [INFO] received Windows console close event; shutting log-core down
